storm_id,hit,minCenterDist_km,firstHitTime_utc
1,0,2168.32036053986,NaT
2,0,878.889956982268,NaT
3,0,2002.72840026607,NaT
4,0,683.602109494155,NaT
5,0,3048.06606552091,NaT
6,0,1271.13661029394,NaT
7,0,6813.70698471184,NaT
8,0,1118.52162527692,NaT
9,0,2526.72579914051,NaT
10,0,646.695066209262,NaT
11,0,670.4330055403,NaT
12,0,1314.33977788555,NaT
13,0,299.241160947308,NaT
14,0,1456.31457348982,NaT
15,0,1011.60629864494,NaT
16,1,239.316299356918,2000-Sep-08 00:00:00
17,0,2824.15917279992,NaT
18,0,5422.70315712757,NaT
19,0,1229.86384257936,NaT
20,0,809.437554818902,NaT
21,0,124.60784409358,NaT
22,0,1403.17149873404,NaT
23,0,1929.85077206475,NaT
101,0,802.775253898716,NaT
102,0,767.615364192157,NaT
103,1,109.54736584946,2001-Jul-01 18:00:00
104,0,241.088692261411,NaT
105,0,875.89243860493,NaT
106,0,2945.6273948819,NaT
107,1,36.0222738465687,2001-Jul-25 00:00:00
108,0,973.190951726044,NaT
109,0,3228.854435192,NaT
110,0,419.981092580507,NaT
111,0,2232.3847501066,NaT
112,0,2971.1747586755,NaT
113,0,4866.62825650274,NaT
114,0,159.797209813444,NaT
115,0,2794.27037354448,NaT
116,0,202.36933997756,NaT
117,0,2760.19397377754,NaT
118,0,3642.15979225193,NaT
119,0,916.958341693477,NaT
120,0,2369.58853455925,NaT
121,0,1311.83822492441,NaT
122,0,4314.6541416445,NaT
123,0,823.770065728925,NaT
124,0,896.881971420579,NaT
125,0,3559.99931744023,NaT
126,0,2276.54054429639,NaT
201,0,1142.40457756901,NaT
202,0,1983.01435067795,NaT
203,0,2913.80252157968,NaT
204,0,140.788559904421,NaT
205,0,1393.37920973252,NaT
206,0,2119.49035633433,NaT
207,0,1651.13933608632,NaT
208,0,437.334564137682,NaT
209,0,1780.15397863691,NaT
210,0,6727.76242029262,NaT
211,0,1854.93939313738,NaT
212,0,233.636438468352,NaT
213,0,2662.83614699669,NaT
214,0,170.018175825978,NaT
215,0,1859.26156997979,NaT
216,0,876.743167152434,NaT
217,0,5389.72709290993,NaT
218,0,41.9584597527726,NaT
219,0,2528.07887880439,NaT
220,0,261.292202043236,NaT
221,0,2444.0003831756,NaT
222,0,3556.89952694716,NaT
223,0,4745.70262555651,NaT
224,0,5145.43148657148,NaT
225,0,2425.04640498453,NaT
226,0,3310.97497636579,NaT
301,0,3707.70609679784,NaT
302,0,1048.05574968104,NaT
303,0,4106.18047508705,NaT
304,0,813.82391136088,NaT
305,0,621.11129482467,NaT
306,0,1115.16806786224,NaT
307,1,27.9417452441988,2003-Jul-23 12:00:00
308,0,303.009806193979,NaT
309,0,675.921926858912,NaT
310,0,1724.77371674798,NaT
311,0,1124.20592814257,NaT
312,1,139.5944654891,2003-Aug-24 00:00:00
313,1,192.266481619089,2003-Sep-02 12:00:00
314,0,1401.35479943255,NaT
315,0,1580.81511858641,NaT
316,0,2548.80191373468,NaT
317,0,1972.97416642733,NaT
318,0,3230.3312141129,NaT
319,0,884.218473487538,NaT
320,0,262.697102188372,NaT
321,0,1961.18630133763,NaT
401,0,2062.14476972515,NaT
402,0,1265.77670797692,NaT
403,0,2366.15348971764,NaT
