year,hit_storms
1976,0
1977,1
1978,3
1979,0
1980,1
1981,1
1982,1
1983,3
1984,1
1985,3
1986,2
1987,1
1988,0
1989,2
1990,1
1991,1
1992,1
1993,3
1994,0
1995,0
1996,1
1997,1
1998,0
1999,0
2000,0
2001,2
2002,0
2003,2
2004,0
2005,1
2006,1
2007,0
2008,2
2009,1
2010,1
2011,1
2012,2
2013,1
2014,2
2015,1
2016,0
2017,2
2018,1
2019,0
2020,0
2021,1
2022,2
2023,2
2024,1
2025,4
