storm_id,hit,minCenterDist_km,firstHitTime_utc
2,0,878.889956982268,NaT
4,0,683.602109494155,NaT
10,0,646.695066209262,NaT
11,0,670.4330055403,NaT
13,0,299.241160947308,NaT
16,0,239.316299356918,NaT
20,0,809.437554818902,NaT
21,0,124.60784409358,NaT
101,0,802.775253898716,NaT
102,0,767.615364192157,NaT
103,1,109.54736584946,2001-Jul-01 12:00:00
104,0,241.088692261411,NaT
105,0,875.89243860493,NaT
107,1,36.0222738465687,2001-Jul-25 06:00:00
108,0,973.190951726044,NaT
110,0,419.981092580507,NaT
114,0,159.797209813444,NaT
116,0,202.36933997756,NaT
119,0,916.958341693477,NaT
123,0,823.770065728925,NaT
124,0,896.881971420579,NaT
126,0,2276.54054429639,NaT
204,0,140.788559904421,NaT
208,0,437.334564137682,NaT
212,0,233.636438468352,NaT
214,0,170.018175825978,NaT
218,0,41.9584597527726,NaT
220,0,261.292202043236,NaT
304,0,813.82391136088,NaT
305,0,621.11129482467,NaT
307,1,27.9417452441988,2003-Jul-23 18:00:00
308,0,303.009806193979,NaT
309,0,675.921926858912,NaT
312,1,139.5944654891,2003-Aug-24 06:00:00
313,0,192.266481619089,NaT
319,0,884.218473487538,NaT
320,0,262.697102188372,NaT
404,0,789.31422443818,NaT
405,0,805.178035212517,NaT
407,0,914.278849114612,NaT
409,0,265.703292809395,NaT
417,0,121.450298850092,NaT
420,0,796.609103453777,NaT
425,0,1039.95128291655,NaT
426,0,929.144646364199,NaT
427,0,629.70641488367,NaT
502,0,1067.79182407466,NaT
505,0,870.143953724275,NaT
508,0,245.123241014987,NaT
510,0,521.767029494418,NaT
513,0,713.752701632372,NaT
516,0,487.53874353631,NaT
518,1,197.319220581425,2005-Sep-25 06:00:00
519,0,656.027453473192,NaT
521,0,629.640039372998,NaT
522,0,408.300561304283,NaT
601,0,356.679539021226,NaT
602,0,133.281474877704,NaT
605,0,463.523848755312,NaT
606,1,3.77522769161087,2006-Aug-02 18:00:00
609,0,218.321247170475,NaT
615,0,571.019568551565,NaT
619,0,479.205149495314,NaT
620,0,436.723473086813,NaT
621,0,801.75227335936,NaT
622,0,336.788047651701,NaT
703,0,338.536526533765,NaT
706,0,62.525226297073,NaT
708,0,767.487441623715,NaT
713,0,132.865243375069,NaT
714,0,423.423284160965,NaT
721,0,485.658507099113,NaT
723,0,900.81087113955,NaT
724,0,1004.52387040599,NaT
801,1,58.2989322660384,2008-Apr-18 18:00:00
804,0,891.419059902487,NaT
806,0,275.00269888397,NaT
808,0,853.79909569216,NaT
809,0,80.815433297007,NaT
812,0,221.761920159732,NaT
814,1,36.026236681024,2008-Sep-23 12:00:00
815,0,973.360421716412,NaT
816,0,493.303067587156,NaT
817,0,115.203558938705,NaT
819,0,462.408245001184,NaT
821,0,1078.88626983695,NaT
902,0,769.619720626524,NaT
903,0,505.678151725366,NaT
904,0,307.736514449523,NaT
905,0,111.930130254076,NaT
906,0,227.155882789926,NaT
907,0,104.753779347135,NaT
908,0,921.005064629284,NaT
913,0,151.544966270925,NaT
915,1,112.369986528066,2009-Sep-14 18:00:00
916,0,560.790983132237,NaT
917,0,239.483791412119,NaT
921,0,805.105417370738,NaT
1002,0,426.111439912495,NaT
1003,1,87.5125982622572,2010-Jul-21 18:00:00
1005,0,556.751272246818,NaT
1006,0,202.580139307979,NaT
1010,0,728.99461325766,NaT
1011,0,341.095772656678,NaT
1013,0,574.115266584198,NaT
1103,0,498.71287178131,NaT
1104,0,41.9738054956403,NaT
1108,0,224.640650971014,NaT
1111,0,617.075695027403,NaT
1117,1,137.203578482899,2011-Sep-28 18:00:00
1118,0,437.561137878244,NaT
1119,0,338.837190486472,NaT
1120,0,605.425359890407,NaT
1121,0,1256.36010709441,NaT
1201,0,1187.0645909722,NaT
1205,0,164.867376193351,NaT
1206,0,153.331832715854,NaT
1208,1,150.520947634482,2012-Jul-23 12:00:00
1213,1,94.8944710532314,2012-Aug-16 18:00:00
1214,0,467.231190777819,NaT
1220,0,508.731682395328,NaT
1223,0,486.157371065707,NaT
1224,0,674.904891973095,NaT
1225,0,1213.91684622319,NaT
1301,0,1440.73521798348,NaT
1302,0,1513.61280588445,NaT
1305,0,202.664108313095,NaT
1306,0,140.837129136598,NaT
1308,0,571.196814643404,NaT
1309,0,178.966711599458,NaT
1310,0,512.23322560091,NaT
1311,1,37.1285683039593,2013-Aug-13 18:00:00
1312,0,589.440994799384,NaT
1319,0,297.735390401171,NaT
1321,0,460.736288422923,NaT
1325,0,565.067576529391,NaT
1329,0,208.913479597113,NaT
1330,0,470.564520899169,NaT
1331,0,1005.94614073881,NaT
1402,0,1266.14015456823,NaT
1406,0,809.638020771107,NaT
1407,0,462.627434284425,NaT
1409,1,147.239307694747,2014-Jul-18 00:00:00
1410,0,835.637214730901,NaT
1415,1,172.456939480976,2014-Sep-15 18:00:00
1416,0,765.589215014086,NaT
1421,0,891.195775597947,NaT
1422,0,823.857782358636,NaT
1423,0,1663.85155675233,NaT
1504,0,479.479505819503,NaT
1508,0,303.009806193979,NaT
1510,0,116.108891295136,NaT
1513,0,772.0466989639,NaT
1519,0,593.102656790736,NaT
1521,0,742.953069229748,NaT
1522,1,87.5125982622572,2015-Oct-03 18:00:00
1524,0,883.421989165853,NaT
1527,0,1130.33306740187,NaT
1601,0,751.484085987005,NaT
1603,0,271.461896746009,NaT
1604,0,246.973340394768,NaT
1608,0,18.4706439532791,NaT
1614,0,734.709492050317,NaT
1615,0,697.56431373655,NaT
1617,0,676.663939376616,NaT
1619,0,384.033899989517,NaT
1621,0,303.394378110941,NaT
1622,0,374.646278961072,NaT
1625,0,780.594667538822,NaT
1626,0,789.31422443818,NaT
1702,0,240.273335942021,NaT
1704,0,450.700618669649,NaT
1707,0,231.650049822237,NaT
1708,0,330.384854744042,NaT
1709,0,596.248793399898,NaT
1710,0,450.441513523907,NaT
1713,1,163.999432815217,2017-Aug-23 06:00:00
1714,0,157.04797487988,NaT
1716,0,303.263785192489,NaT
1717,0,721.576181760538,NaT
1719,0,505.085103958839,NaT
1720,1,52.277320177879,2017-Oct-15 06:00:00
1723,0,906.021166858369,NaT
1724,0,358.384358278067,NaT
1725,0,1067.79182407466,NaT
1726,0,1330.46387823803,NaT
1727,0,1404.99288156804,NaT
1801,0,968.530725691926,NaT
1802,0,1285.30386234115,NaT
1804,0,73.4555134760056,NaT
1806,0,512.89524919912,NaT
1809,0,158.263138591495,NaT
1816,0,3.77522769161087,NaT
1822,1,153.932726917417,2018-Sep-16 06:00:00
1823,0,18.2756456068991,NaT
1826,0,382.210836967554,NaT
1827,0,1077.10441956152,NaT
1829,0,1099.26919041712,NaT
1901,0,1483.01725341426,NaT
1904,0,237.767413978518,NaT
1907,0,124.794555468186,NaT
1911,0,437.592050603605,NaT
1912,0,398.972328387779,NaT
1914,0,170.082694336569,NaT
1922,0,849.902011242555,NaT
1924,0,858.888446256707,NaT
1926,0,959.925739042416,NaT
1928,0,770.390621478566,NaT
1929,0,726.536562060674,NaT
2001,0,773.201845902835,NaT
2002,0,74.8172730328585,NaT
2003,0,377.722981432765,NaT
2006,0,665.88401810647,NaT
2007,0,163.185268411902,NaT
2011,0,571.751775392518,NaT
2015,0,717.387593580841,NaT
2016,0,279.89523706255,NaT
2017,0,318.219116428803,NaT
2018,0,734.729717000996,NaT
2019,0,717.387593580841,NaT
2020,0,748.524277137844,NaT
2021,0,908.417441080001,NaT
2022,0,577.097954390848,NaT
2023,0,1257.37629981834,NaT
2103,0,666.030692400208,NaT
2104,0,337.527266177648,NaT
2107,1,42.7975650017773,2021-Jul-19 12:00:00
2109,0,45.595953371915,NaT
2113,0,586.677637121835,NaT
2115,0,697.43113075724,NaT
2117,0,258.584500657479,NaT
2118,0,210.04310213864,NaT
2122,0,130.767402659762,NaT
2203,1,64.0516215567177,2022-Jul-01 12:00:00
2207,0,163.727836121299,NaT
2209,1,41.9243518628013,2022-Aug-24 18:00:00
2216,0,587.053325304128,NaT
2219,0,692.85392872796,NaT
2220,0,350.248143879499,NaT
2222,0,164.069594823658,NaT
2304,1,28.0861729444505,2023-Jul-17 00:00:00
2305,0,720.698508797011,NaT
2309,1,90.7488697737153,2023-Sep-01 18:00:00
2311,0,390.714004426645,NaT
2314,0,20.9082809828786,NaT
2316,0,254.402119859329,NaT
2402,0,77.1763183787932,NaT
2404,0,333.509744703686,NaT
2411,1,157.28285514851,2024-Sep-05 18:00:00
2415,0,415.030316852137,NaT
2418,0,727.429479520213,NaT
2420,0,427.490167021238,NaT
2421,0,893.559191961439,NaT
2422,0,224.326223540255,NaT
2423,0,82.9714967172056,NaT
2424,0,273.665130040409,NaT
